Team1,Team1_Score,Team2,Team2_Score,Winner,Year
Florida State,57,Texas A∓M,50,Team1,2011
Notre Dame,69,Akron,56,Team1,2011
Ohio State,98,George Mason,66,Team1,2011
Kentucky,71,West Virginia,63,Team1,2011
Marquette,66,Syracuse,62,Team1,2011
North Carolina,86,Washington,83,Team1,2011
Connecticut,69,Cincinnati,58,Team1,2011
San Diego State,71,Temple,64,Team1,2011
Duke,73,Michigan,71,Team1,2011
Arizona,70,Texas,69,Team1,2011
Butler,71,Pittsburgh,70,Team1,2011
Florida,73,UCLA,65,Team1,2011
BYU,89,Gonzaga,67,Team1,2011
Wisconsin,70,Kansas State,65,Team1,2011
Richmond,65,Morehead State,48,Team1,2011
Virginia Commonwealth,94,Purdue,76,Team1,2011
Florida State,71,Notre Dame,57,Team1,2011
Kansas,73,Illinois,59,Team1,2011
North Carolina,81,Marquette,63,Team1,2011
Kentucky,62,Ohio State,60,Team1,2011
Connecticut,74,San Diego State,67,Team1,2011
Arizona,93,Duke,77,Team1,2011
Florida,83,BYU,74,Team1,2011
Butler,61,Wisconsin,54,Team1,2011
Kansas,77,Richmond,57,Team1,2011
Virginia Commonwealth,72,Florida State,71,Team1,2011
Kentucky,76,North Carolina,69,Team1,2011
Connecticut,65,Arizona,63,Team1,2011
Butler,74,Florida,71,Team1,2011
Virginia Commonwealth,71,Kansas,61,Team1,2011
Butler,70,Virginia Commonwealth,62,Team1,2011
Connecticut,56,Kentucky,55,Team1,2011
Connecticut,53,Butler,41,Team1,2011
Western Kentucky,59,MVSU,58,Team1,2012
BYU,78,Iona,72,Team1,2012
Vermont,71,Lamar,59,Team1,2012
South Florida,65,California,54,Team1,2012
Kentucky,81,Western Kentucky,66,Team1,2012
Iowa State,77,UConn,64,Team1,2012
VCU,62,Wichita State,59,Team1,2012
Indiana,79,New Mexico State,66,Team1,2012
Colorado,68,UNLV,64,Team1,2012
Baylor,68,South Dakota State,60,Team1,2012
Xavier,67,Notre Dame,63,Team1,2012
Lehigh,75,Duke,70,Team1,2012
Michigan State,89,LIU,67,Team1,2012
Saint Louis,61,Memphis,54,Team1,2012
New Mexico,75,Long Beach State,68,Team1,2012
Louisville,69,Davidson,62,Team1,2012
Murray State,58,Colorado State,41,Team1,2012
Marquette,88,BYU,68,Team1,2012
Florida,71,Virginia,45,Team1,2012
Norfolk State,86,Missouri,84,Team1,2012
Syracuse,72,UNC Asheville,65,Team1,2012
Kansas State,70,Southern Mississippi,64,Team1,2012
Vanderbilt,79,Harvard,70,Team1,2012
Wisconsin,73,Montana,49,Team1,2012
Cincinnati,65,Texas,59,Team1,2012
Florida State,66,St. Bonaventure,63,Team1,2012
Gonzaga,77,West Virginia,54,Team1,2012
Ohio State,78,Loyola (Md.),59,Team1,2012
North Carolina,77,Vermont,58,Team1,2012
Creighton,58,Alabama,57,Team1,2012
South Florida,58,Temple,44,Team1,2012
Ohio,65,Michigan,60,Team1,2012
N.C. State,79,San Diego State,65,Team1,2012
Georgetown,74,Belmont,59,Team1,2012
Purdue,72,Saint Mary's (Calif.),69,Team1,2012
Kansas,65,Detroit,50,Team1,2012
Kentucky,87,Iowa State,71,Team1,2012
Indiana,63,VCU,61,Team1,2012
Baylor,80,Colorado,63,Team1,2012
Xavier,70,Lehigh,58,Team1,2012
Michigan State,65,Saint Louis,61,Team1,2012
Louisville,59,New Mexico,56,Team1,2012
Marquette,62,Murray State,53,Team1,2012
Florida,84,Norfolk State,50,Team1,2012
Syracuse,75,Kansas State,59,Team1,2012
Wisconsin,60,Vanderbilt,57,Team1,2012
Cincinnati,62,Florida State,56,Team1,2012
Ohio State,73,Gonzaga,66,Team1,2012
North Carolina,87,Creighton,73,Team1,2012
Ohio,62,South Florida,56,Team1,2012
N.C. State,66,Georgetown,63,Team1,2012
Kansas,63,Purdue,60,Team1,2012
Kentucky,102,Indiana,90,Team1,2012
Baylor,75,Xavier,70,Team1,2012
Louisville,57,Michigan State,44,Team1,2012
Florida,68,Marquette,58,Team1,2012
Syracuse,64,Wisconsin,63,Team1,2012
Ohio State,81,Cincinnati,66,Team1,2012
North Carolina,73,Ohio,65,Team1,2012
Kansas,60,N.C. State,57,Team1,2012
Kentucky,82,Baylor,70,Team1,2012
Louisville,72,Florida,68,Team1,2012
Ohio State,77,Syracuse,70,Team1,2012
Kansas,80,North Carolina,67,Team1,2012
Kentucky,69,Louisville,61,Team1,2012
Kansas,64,Ohio State,62,Team1,2012
Kentucky,67,Kansas,59,Team1,2012
